name,debut_year,members,gender,genre,city,region,popularity,image,track_title,track_link,track_cover
Владимир Высоцкий,1968,1,Мужской,Авторская песня,Москва,Центральный,1601017,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%92%D1%8B%D1%81%D0%BE%D1%86%D0%BA%D0%B8%D0%B9_-_%D0%BF%D0%BE%D1%80%D1%82%D1%80%D0%B5%D1%82_%28cropped%29.jpg/330px-%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%92%D1%8B%D1%81%D0%BE%D1%86%D0%BA%D0%B8%D0%B9_-_%D0%BF%D0%BE%D1%80%D1%82%D1%80%D0%B5%D1%82_%28cropped%29.jpg,Кони привередливые,https://music.yandex.ru/track/366730,
Kristina Si,2010,1,Женский,R&B,Тула,Центральный,1583138,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Kristina_Si_%D0%BD%D0%B0_Europa_Plus_TV._Hit_Non_Stop_%D0%B2_%D0%92%D0%B8%D1%82%D0%B5%D0%B1%D1%81%D0%BA%D0%B5_2016_%28cropped%29.jpg/330px-Kristina_Si_%D0%BD%D0%B0_Europa_Plus_TV._Hit_Non_Stop_%D0%B2_%D0%92%D0%B8%D1%82%D0%B5%D0%B1%D1%81%D0%BA%D0%B5_2016_%28cropped%29.jpg,Хочу,https://music.yandex.ru/album/3240691,
Гарик Сукачёв,1986,1,Мужской,Рок,Москва,Центральный,1532489,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/%D0%93%D0%B0%D1%80%D0%B8%D0%BA_%D0%A1%D1%83%D0%BA%D0%B0%D1%87%D1%91%D0%B2_%D0%BD%D0%B0_%D0%BA%D0%BE%D0%BD%D1%86%D0%B5%D1%80%D1%82%D0%B5_%D0%B2_%D0%94%D0%BE%D0%BD%D0%B5%D1%86%D0%BA%D0%B5_6_%D0%B8%D1%8E%D0%BD%D1%8F_2010_%D0%B3%D0%BE%D0%B4%D0%B0_009.JPG/330px-%D0%93%D0%B0%D1%80%D0%B8%D0%BA_%D0%A1%D1%83%D0%BA%D0%B0%D1%87%D1%91%D0%B2_%D0%BD%D0%B0_%D0%BA%D0%BE%D0%BD%D1%86%D0%B5%D1%80%D1%82%D0%B5_%D0%B2_%D0%94%D0%BE%D0%BD%D0%B5%D1%86%D0%BA%D0%B5_6_%D0%B8%D1%8E%D0%BD%D1%8F_2010_%D0%B3%D0%BE%D0%B4%D0%B0_009.JPG,Моя бабушка курит трубку,https://music.yandex.ru/search?text=Гарик%20Сукачёв%20Моя%20бабушка%20курит%20трубку,
Николай Басков,2000,1,Мужской,Эстрада,Москва,Центральный,1473887,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%91%D0%B0%D1%81%D0%BA%D0%BE%D0%B2_%28%D0%91%D0%B5%D0%BB%D1%8B%D0%B5_%D0%BD%D0%BE%D1%87%D0%B8_%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B0_%E2%80%94_2021._%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%B8%D0%B9_%D0%9B%D0%B5%D0%BF%D1%81_%D1%81%D0%BE%D0%B1%D0%B8%D1%80%D0%B0%D0%B5%D1%82_%D0%B4%D1%80%D1%83%D0%B7%D0%B5%D0%B9%29_%28cropped%29.jpg/330px-thumbnail.jpg,Памяти Карузо,https://music.yandex.ru/search?text=Николай%20Басков%20Памяти%20Карузо,
Игорь Николаев,1986,1,Мужской,Эстрада,Холмск,Дальневосточный,1458352,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Igor_Nikolaev_.jpg/330px-Igor_Nikolaev_.jpg,Выпьем за любовь,https://music.yandex.ru/album/62959/track/590840,
Децл,2000,1,Мужской,Рэп/Хип-хоп,Москва,Центральный,1403866,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/%D0%94%D0%B5%D1%86%D0%BB_%28%D0%9A%D0%B8%D1%80%D0%B8%D0%BB%D0%BB_%D0%A2%D0%BE%D0%BB%D0%BC%D0%B0%D1%86%D0%BA%D0%B8%D0%B9%29_%28cropped%29.jpg/330px-%D0%94%D0%B5%D1%86%D0%BB_%28%D0%9A%D0%B8%D1%80%D0%B8%D0%BB%D0%BB_%D0%A2%D0%BE%D0%BB%D0%BC%D0%B0%D1%86%D0%BA%D0%B8%D0%B9%29_%28cropped%29.jpg,Вечеринка у ДеЦла,https://music.yandex.ru/album/1952335/track/17662205,
София Ротару,1972,1,Женский,Эстрада,"село Маршинцы, Черновицкая область",Украина,1364685,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/%D0%A1%D0%BE%D1%84%D1%96%D1%8F_%D0%A0%D0%BE%D1%82%D0%B0%D1%80%D1%83_%28cropped%29.jpg/330px-%D0%A1%D0%BE%D1%84%D1%96%D1%8F_%D0%A0%D0%BE%D1%82%D0%B0%D1%80%D1%83_%28cropped%29.jpg,Червона рута,https://music.yandex.ru/search?text=%D0%A1%D0%BE%D1%84%D0%B8%D1%8F%20%D0%A0%D0%BE%D1%82%D0%B0%D1%80%D1%83%20%D0%A7%D0%B5%D1%80%D0%B2%D0%BE%D0%BD%D0%B0%20%D1%80%D1%83%D1%82%D0%B0,
Александр Розенбаум,1981,1,Мужской,Шансон,Санкт-Петербург,Северо-Западный,1253609,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Alexander_Rosenbaum_%282022-05-27%29_01.jpg/330px-Alexander_Rosenbaum_%282022-05-27%29_01.jpg,Вальс-бостон,https://music.yandex.ru/search?text=Александр%20Розенбаум%20Вальс-бостон,
Дельфин,1997,1,Мужской,Инди,Москва,Центральный,1229071,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/%D0%94%D0%B5%D0%BB%D1%8C%D1%84%D0%B8%D0%BD_Dolphin_crop.jpg/330px-%D0%94%D0%B5%D0%BB%D1%8C%D1%84%D0%B8%D0%BD_Dolphin_crop.jpg,Весна,https://music.yandex.ru/search?text=Дельфин%20Весна,
Lumen,1998,4,Мужской,Рок,Уфа,Приволжский,1125596,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/2013-12-13._Lumen_%D0%B2_%D0%94%D0%BE%D0%BD%D0%B5%D1%86%D0%BA%D0%B5_155.jpg/330px-2013-12-13._Lumen_%D0%B2_%D0%94%D0%BE%D0%BD%D0%B5%D1%86%D0%BA%D0%B5_155.jpg,Сид и Нэнси,https://music.yandex.ru/search?text=Lumen%20Сид%20и%20Нэнси,
